issue_id,category,module,severity,title,phenomenon,impact,reproduction,evidence,code,cause,recommendation,effort,dependencies,status,blocks_production,vehicle_safety
SAFE-001,安全,EOL 状态机,P0,暂停、中止和急停不停止 EOL 执行任务,pause 后步骤从 3 增至 8；abort/emergency 最终均被覆盖为 PASS。,操作员无法可靠停止车辆相关检测流程。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/eol_state_machine.json,"backend/app/eol/engine.py:24,54-65; backend/app/api/eol.py:163-195",实现停留在演示/最小闭环，缺少生产约束。,为每个会话持有 task/cancel token；所有步骤前后检查状态；急停先执行安全停车并等待确认。,L,无,OPEN,是,是
SAFE-002,安全,EOL/联锁,P0,CAN1/CAN2 断开时一键检测仍 PASS,审计停止两个通道后启动会话，12 步全部 PASS。,可对无反馈车辆生成错误 PASS 结论。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/eol_state_machine.json,backend/app/eol/engine.py:29-49,实现停留在演示/最小闭环，缺少生产约束。,每步使用 SafetyInterlockService 和关键帧时效；断链立即失败并安全停车。,L,无,OPEN,是,是
SAFE-003,安全,CAN/联锁,P0,高负载积压帧使设备断开后仍被判在线并允许控制,55Hz profile 停止 5 秒后 CAN2 仍 online，send-once 返回 200。,断线车辆可能在错误在线状态下接受控制。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/stale_online_interlock_after_5s.txt,backend/app/can_gateway/udp_gateway.py:49-53; backend/app/services/lifecycle.py:16-28; backend/app/can_gateway/statistics.py:35-49,实现停留在演示/最小闭环，缺少生产约束。,使用有界队列、接收时间戳而非处理时间、丢弃过期帧；联锁校验 source receive age。,L,无,OPEN,是,是
SAFE-004,安全/权限,认证授权,P0,后端无认证且默认角色为 admin,无凭据可进入维护模式；伪造 x-role:admin 删除不存在报告返回 200；OpenAPI 无 security scheme。,任何可访问端口的进程可操作控制、维护和删除接口。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/api/security_probe.json,backend/app/services/app_state.py:8; backend/app/api/config.py:472-475; backend/app/api/reports.py:261-273; backend/app/main.py:12,实现停留在演示/最小闭环，缺少生产约束。,实现认证会话、服务端 RBAC、不可伪造身份和最小权限；控制接口限制本机可信 IPC/令牌。,L,无,OPEN,是,是
SAFE-005,安全,急停,P0,急停只停止周期任务并置位，不下发零速/制动帧,接口响应称急停完成，但代码无 safe_stop_command 发送或反馈确认。,车辆可能保留最后控制命令，停止周期发送不等于停车。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/simulation/control_loopback_e2e.json,backend/app/api/control.py:157-169,实现停留在演示/最小闭环，缺少生产约束。,急停采用独立高优先队列，重复发送零速+制动直到反馈确认或超时，并保持锁存。,M,无,OPEN,是,是
EOL-001,检测,故障判定,P1,转向无响应和制动失败 profile 错误 PASS,steering_no_response 与 brake_fail 均完成 12 步并生成 PASS。,生产可能放行故障底盘。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/simulation/steering_no_response_eol_result.json; evidence/simulation/brake_fail_eol_result.json,backend/app/eol/engine.py:29-49,实现停留在演示/最小闭环，缺少生产约束。,按 test_plan 执行真实刺激/反馈断言，覆盖转向跟随与制动停止。,L,无,OPEN,是,是
EOL-002,检测,步骤语义,P1,低 SOC/告警在第 1 步失败且引擎忽略测试计划,bms_low_soc 和 warning_fault 仅执行 1 步；DEFAULT_STEPS 只提供名称。,失败步骤与报告诊断结论错误。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/simulation/bms_low_soc_eol_result.json; evidence/simulation/warning_fault_eol_result.json,"backend/app/eol/engine.py:5,29-49; configs/test_plan.yaml",实现停留在演示/最小闭环，缺少生产约束。,加载计划模型，为每步定义 command、采样窗口、断言和失败策略。,L,无,OPEN,是,是
SAFE-006,安全/UI,手动控制,P1,UI 0x121 Byte 预览与实际发送 payload 不一致,preview 的 bytes_hex 字段排列/0.25 比例与 data、仿真器收到的真实 0.1 比例 payload 不同。,操作员看到的待发内容不是实际报文。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/simulation/control_loopback_e2e.json,backend/app/api/control.py:38-61; backend/app/control/control_121.py:37-52,实现停留在演示/最小闭环，缺少生产约束。,只返回编码器产生的一份 authoritative bytes；字段说明从同一 bytes 解码生成。,M,无,OPEN,是,是
SAFE-007,安全/UI,手动控制,P1,联锁展示接口固定显示允许发送,interlock-status 不调用 SafetyInterlockService，control/status 仅检查急停。,UI 可在实际禁止时显示允许，误导操作员。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/api/get__control__interlock-status.json,"backend/app/api/control.py:65-79,95-112",实现停留在演示/最小闭环，缺少生产约束。,两个状态接口直接返回 SafetyInterlockService.evaluate 结果和阻断原因。,S,无,OPEN,是,是
SAFE-008,安全,安全停车,P1,安全停车仅发送一次且不验证车辆停止,stop scheduler 后只 send_once safe_stop_command。,UDP 丢包或反馈异常时无法保证停车。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/simulation/control_loopback_e2e.json,backend/app/api/control.py:147-155; backend/app/control/safe_stop.py:3-4,实现停留在演示/最小闭环，缺少生产约束。,实现超时状态机、周期重发、速度/制动反馈断言和审计。,M,无,OPEN,是,是
